6-Axis FT Sensor,,,,,,,Load Cell
Time,Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz(Nm),Tau (N)
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
8/20/2025 10:54,0.003360383,-0.000173328,-0.102556549,0.002922028,-9.30E-06,-0.000163147,0.1
8/20/2025 10:54,0.000994424,0.002540247,-0.202450886,0.005528714,-1.99E-05,-0.000265441,0.2
8/20/2025 10:55,0.000978297,0.004558945,-0.292950332,0.008090996,1.79E-06,-0.000418782,0.3
8/20/2025 10:55,0.000212117,0.0069803,-0.391757429,0.01075121,1.17E-05,-0.000583916,0.4
8/20/2025 10:55,-8.57E-05,0.00822714,-0.481763393,0.013451997,-3.13E-06,-0.000722758,0.5
8/20/2025 10:55,0.000223379,0.010771091,-0.597690284,0.016248053,-1.47E-05,-0.00086246,0.6
8/20/2025 10:55,-0.00174453,0.011225559,-0.686008036,0.018828521,4.47E-06,-0.000968828,0.7
8/20/2025 10:55,-0.002205923,0.013521496,-0.784703255,0.021630872,3.46E-05,-0.001141676,0.8
8/20/2025 10:56,-0.003687728,0.019999355,-0.872884274,0.024252294,0.000139333,-0.001350771,0.9
8/20/2025 10:56,-0.004885663,0.02401278,-0.967877448,0.026738338,0.000168371,-0.00150912,1
8/20/2025 10:56,-0.005157794,0.027190408,-1.077204943,0.029756026,0.000229022,-0.00165306,1.1
8/20/2025 10:56,-0.006561081,0.030361468,-1.175504208,0.032555286,0.000247958,-0.001829826,1.2
8/20/2025 10:56,-0.005728661,0.031134835,-1.269931197,0.035170153,0.000314368,-0.00197148,1.3
8/20/2025 10:57,-0.007593211,0.03232199,-1.365019321,0.037933882,0.00033587,-0.002121955,1.4
8/20/2025 10:57,-0.005993864,0.038058188,-1.468103051,0.040701702,0.000404422,-0.00219804,1.5
8/25/2025 7:11:40 PM, -0.0003821209538728, 0.00232716905884445, -0.0954351201653481, 0.00260746642015874, -3.16517071041744E-06, -0.000126026832731441
8/25/2025 7:12:15 PM, -0.00130662880837917, 0.00537087023258209, -0.196750715374947, 0.0054019084200263, -8.1446905824123E-06, -0.000274220918072388
8/25/2025 7:13:14 PM, 8.72630625963211E-05, 0.00775556918233633, -0.296974569559097, 0.0081170741468668, -5.34803511982318E-05, -0.000401508499635383
8/25/2025 7:13:39 PM, -0.00113687943667173, 0.0104352524504066, -0.397533297538757, 0.0109011391177773, -5.57846433366649E-05, -0.000539943459443748
8/25/2025 7:14:52 PM, -0.00114226900041103, 0.0140735795721412, -0.49758705496788, 0.0136400647461414, -7.57036832510494E-05, -0.00067094515543431
8/25/2025 7:15:49 PM, -0.00259335525333881, 0.0165107063949108, -0.594854474067688, 0.0163453090935946, -9.01717721717432E-05, -0.000817697495222092
8/25/2025 7:16:41 PM, -0.00208043027669191, 0.019527830183506, -0.692792534828186, 0.0190705619752407, -6.74642942612991E-05, -0.000971485686022788
8/25/2025 7:17:06 PM, -0.00564733985811472, 0.0260540209710598, -0.785195291042328, 0.0217634830623865, 2.00816430151463E-06, -0.00118100247345865
8/25/2025 7:17:18 PM, -0.00577750988304615, 0.0308477282524109, -0.88760781288147, 0.0244683884084225, 1.76237444975413E-05, -0.00130719295702875
8/25/2025 7:17:46 PM, -0.00796685460954905, 0.0352133512496948, -0.991877436637878, 0.0273502077907324, 7.10626700310968E-05, -0.00148166518192738
8/25/2025 7:19:47 PM, -0.0112510239705443, 0.0372211039066315, -1.10068130493164, 0.0299377981573343, 0.000119944750622381, -0.00155802560038865
8/25/2025 7:19:59 PM, -0.0126206856220961, 0.0401530228555202, -1.19943940639496, 0.0325344353914261, 0.00017960014520213, -0.00168757175561041
8/25/2025 7:20:12 PM, -0.0150030590593815, 0.0430128872394562, -1.28982877731323, 0.0350595116615295, 0.00024396792287007, -0.00182366091758013
8/25/2025 7:20:25 PM, -0.0204556509852409, 0.0472536310553551, -1.40262460708618, 0.0381072461605072, 0.000364521314622834, -0.00198513711802661
8/25/2025 7:20:48 PM, -0.0229432415217161, 0.0507386028766632, -1.4926301240921, 0.0406367406249046, 0.000450925552286208, -0.0021003766451031
8/25/2025 7:39:15 PM, -0.00488224625587463, -0.178990989923477, -0.143601104617119, 0.0460208244621754, -0.000620396924205124, -0.000672900816425681
8/25/2025 7:39:57 PM, -0.00507491081953049, -0.181008040904999, -0.151413410902023, 0.0473492741584778, -0.000714621623046696, -0.000694411806762218
